#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,6.649999,146.27,-3.13,(-2.10%)
2,Microsoft Corporation,MSFT,5.653139,249.35,-5.42,(-2.13%)
3,Amazon.com Inc.,AMZN,2.531456,93.03,-2.8,(-2.92%)
4,NVIDIA Corporation,NVDA,1.755909,232.78,-3.86,(-1.63%)
5,Berkshire Hathaway Inc. Class B,BRK.B,1.625388,302.56,-0.51,(-0.17%)
6,Alphabet Inc. Class A,GOOGL,1.615968,89.04,-1.85,(-2.04%)
7,Tesla Inc,TSLA,1.614454,196.13,-5.94,(-2.94%)
8,Alphabet Inc. Class C,GOOG,1.435323,89.26,-1.81,(-1.99%)
9,UnitedHealth Group Incorporated,UNH,1.367491,488.89,-2.81,(-0.57%)
10,Exxon Mobil Corporation,XOM,1.357513,110.26,-0.48,(-0.43%)
11,Johnson & Johnson,JNJ,1.228886,155.55,-2.18,(-1.38%)
12,JPMorgan Chase & Co.,JPM,1.219466,140.97,1.3,(0.93%)
13,Meta Platforms Inc. Class A,META,1.151547,169.74,-2.3,(-1.34%)
14,Visa Inc. Class A,V,1.076201,219.93,-1.2,(-0.54%)
15,Procter & Gamble Company,PG,0.987877,139.03,-1.03,(-0.73%)
16,Home Depot Inc.,HD,0.911552,297.08,-2.23,(-0.75%)
17,Mastercard Incorporated Class A,MA,0.89887,352.75,-2.78,(-0.78%)
18,Chevron Corporation,CVX,0.857451,161.47,-0.46,(-0.28%)
19,Merck & Co. Inc.,MRK,0.83461,109.49,-1.1,(-0.99%)
20,AbbVie Inc.,ABBV,0.800521,151.95,-0.12,(-0.08%)
21,Eli Lilly and Company,LLY,0.768876,321.86,-5.66,(-1.73%)
22,PepsiCo Inc.,PEP,0.723029,175.08,-1.23,(-0.70%)
23,Bank of America Corp,BAC,0.711764,34.16,-0.1,(-0.29%)
24,Pfizer Inc.,PFE,0.706779,41.69,-0.62,(-1.45%)
25,Broadcom Inc.,AVGO,0.703812,575.65,-8.15,(-1.40%)
26,Coca-Cola Company,KO,0.696157,59.55,-0.55,(-0.91%)
27,Costco Wholesale Corporation,COST,0.649735,487.39,-5.76,(-1.17%)
28,Thermo Fisher Scientific Inc.,TMO,0.643225,544.65,-6.3,(-1.14%)
29,Cisco Systems Inc.,CSCO,0.601444,48.24,-0.98,(-1.98%)
30,Walmart Inc.,WMT,0.596949,141.83,-0.26,(-0.18%)
31,McDonald's Corporation,MCD,0.581468,263.94,-2.85,(-1.07%)
32,Walt Disney Company,DIS,0.552041,100.04,-1.69,(-1.67%)
33,Abbott Laboratories,ABT,0.532033,100.37,-2.19,(-2.13%)
34,Wells Fargo & Company,WFC,0.524586,46.42,0.17,(0.37%)
