#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,6.864099,148.6,0.1,(0.07%)
2,Microsoft Corporation,MSFT,5.733366,249.3,0.71,(0.29%)
3,Amazon.com Inc.,AMZN,2.495726,90.98,0.25,(0.28%)
4,NVIDIA Corporation,NVDA,1.780813,229.95,0.3,(0.13%)
5,Alphabet Inc. Class A,GOOGL,1.680846,90.8,0.17,(0.19%)
6,Berkshire Hathaway Inc. Class B,BRK.B,1.674075,303.63,0.0,(0.00%)
7,Alphabet Inc. Class C,GOOG,1.495489,91.12,0.11,(0.12%)
8,Tesla Inc.,TSLA,1.414772,174.47,1.03,(0.59%)
9,Exxon Mobil Corporation,XOM,1.369934,107.78,0.0,(0.00%)
10,UnitedHealth Group Incorporated,UNH,1.324094,460.61,0.28,(0.06%)
11,Meta Platforms Inc. Class A,META,1.245375,182.3,2.79,(1.55%)
12,Johnson & Johnson,JNJ,1.206661,151.79,0.18,(0.12%)
13,JPMorgan Chase & Co.,JPM,1.165359,133.65,0.0,(0.00%)
14,Visa Inc. Class A,V,1.09649,216.2,0.06,(0.03%)
15,Procter & Gamble Company,PG,0.986489,137.2,0.01,(0.01%)
16,Mastercard Incorporated Class A,MA,0.917664,348.0,0.89,(0.26%)
17,Home Depot Inc.,HD,0.89819,287.34,1.03,(0.36%)
18,Chevron Corporation,CVX,0.87036,159.67,0.0,(0.00%)
19,Merck & Co. Inc.,MRK,0.831564,108.0,0.31,(0.29%)
20,AbbVie Inc.,ABBV,0.794324,149.85,0.14,(0.09%)
21,Broadcom Inc.,AVGO,0.768534,616.3,1.47,(0.24%)
22,Eli Lilly and Company,LLY,0.761714,316.7,1.68,(0.53%)
23,PepsiCo Inc.,PEP,0.721469,172.12,0.09,(0.05%)
24,Coca-Cola Company,KO,0.705418,59.4,0.19,(0.32%)
25,Pfizer Inc.,PFE,0.675172,39.4,0.01,(0.03%)
26,Thermo Fisher Scientific Inc.,TMO,0.661401,543.83,0.0,(0.00%)
27,Bank of America Corp,BAC,0.649729,30.4,0.13,(0.43%)
28,Costco Wholesale Corporation,COST,0.646989,471.6,0.46,(0.10%)
29,Cisco Systems Inc.,CSCO,0.61089,48.73,0.17,(0.35%)
30,Walmart Inc.,WMT,0.590132,137.38,0.41,(0.30%)
