Symbol,0
AAPL,illiquid. The volume is 2.85 times the average volume.
MSFT,illiquid. The volume is 3.01 times the average volume.
AMZN,illiquid. The volume is 3.02 times the average volume.
NVDA,illiquid. The volume is 1.73 times the average volume.
GOOGL,illiquid. The volume is 2.6 times the average volume.
GOOG,illiquid. The volume is 3.02 times the average volume.
TSLA,liquid. The volume is 0.43 times the average volume.
META,illiquid. The volume is 3.16 times the average volume.
XOM,liquid. The volume is 0.39 times the average volume.
UNH,illiquid. The volume is 1.58 times the average volume.
JNJ,illiquid. The volume is 1.05 times the average volume.
JPM,liquid. The volume is 0.28 times the average volume.
V,illiquid. The volume is 3.53 times the average volume.
PG,illiquid. The volume is 2.97 times the average volume.
MA,liquid. The volume is 0.24 times the average volume.
CVX,illiquid. The volume is 3.68 times the average volume.
HD,illiquid. The volume is 2.88 times the average volume.
ABBV,illiquid. The volume is 2.55 times the average volume.
LLY,illiquid. The volume is 2.17 times the average volume.
MRK,illiquid. The volume is 2.68 times the average volume.
AVGO,liquid. The volume is 0.23 times the average volume.
PEP,illiquid. The volume is 3.44 times the average volume.
KO,liquid. The volume is 0.37 times the average volume.
PFE,illiquid. The volume is 2.28 times the average volume.
TMO,liquid. The volume is 0.34 times the average volume.
COST,liquid. The volume is 0.38 times the average volume.
CSCO,liquid. The volume is 0.27 times the average volume.
MCD,liquid. The volume is 0.3 times the average volume.
WMT,illiquid. The volume is 1.78 times the average volume.
CRM,illiquid. The volume is 5.62 times the average volume.
BAC,illiquid. The volume is 2.57 times the average volume.
DIS,liquid. The volume is 0.29 times the average volume.
ACN,liquid. The volume is 0.32 times the average volume.
ABT,illiquid. The volume is 2.34 times the average volume.
ADBE,illiquid. The volume is 3.06 times the average volume.
LIN,liquid. The volume is 0.3 times the average volume.
VZ,liquid. The volume is 0.41 times the average volume.
TXN,illiquid. The volume is 2.54 times the average volume.
DHR,illiquid. The volume is 2.12 times the average volume.
CMCSA,liquid. The volume is 0.27 times the average volume.
AMD,illiquid. The volume is 2.13 times the average volume.
NFLX,illiquid. The volume is 4.02 times the average volume.
NKE,illiquid. The volume is 3.91 times the average volume.
NEE,illiquid. The volume is 2.9 times the average volume.
PM,illiquid. The volume is 4.09 times the average volume.
BMY,illiquid. The volume is 2.38 times the average volume.
RTX,illiquid. The volume is 3.68 times the average volume.
ORCL,illiquid. The volume is 2.92 times the average volume.
WFC,liquid. The volume is 0.28 times the average volume.
T,illiquid. The volume is 2.64 times the average volume.
UPS,liquid. The volume is 0.25 times the average volume.
INTC,illiquid. The volume is 2.64 times the average volume.
QCOM,illiquid. The volume is 3.19 times the average volume.
AMGN,illiquid. The volume is 2.45 times the average volume.
COP,illiquid. The volume is 3.75 times the average volume.
HON,illiquid. The volume is 3.1 times the average volume.
INTU,liquid. The volume is 0.32 times the average volume.
LOW,liquid. The volume is 0.27 times the average volume.
BA,illiquid. The volume is 3.19 times the average volume.
UNP,liquid. The volume is 0.19 times the average volume.
SBUX,illiquid. The volume is 2.71 times the average volume.
IBM,liquid. The volume is 0.18 times the average volume.
PLD,liquid. The volume is 0.23 times the average volume.
SPGI,liquid. The volume is 0.2 times the average volume.
ELV,liquid. The volume is 0.43 times the average volume.
CAT,illiquid. The volume is 1.96 times the average volume.
LMT,liquid. The volume is 0.36 times the average volume.
MS,illiquid. The volume is 3.74 times the average volume.
GS,liquid. The volume is 0.15 times the average volume.
DE,illiquid. The volume is 1.05 times the average volume.
MDT,illiquid. The volume is 3.54 times the average volume.
GE,illiquid. The volume is 1.79 times the average volume.
GILD,illiquid. The volume is 3.87 times the average volume.
BKNG,illiquid. The volume is 2.94 times the average volume.
AMAT,illiquid. The volume is 2.92 times the average volume.
ADI,illiquid. The volume is 2.95 times the average volume.
BLK,illiquid. The volume is 4.74 times the average volume.
CVS,illiquid. The volume is 2.88 times the average volume.
