Symbol,0
AAPL,momentum: +-0.35%... This is a good time to buy.
MSFT,momentum: +-0.01%... This is a good time to buy.
AMZN,momentum: +-0.04%... This is a good time to buy.
NVDA,momentum: +-1.66%... This is a good time to buy.
GOOGL,momentum: +1.32%... This is a good time to buy.
GOOG,momentum: +1.34%... This is a good time to buy.
TSLA,momentum: +-0.99%... This is a good time to buy.
META,momentum: +0.22%... This is a good time to buy.
XOM,momentum: +0.99%... This is a good time to buy.
UNH,momentum: +3.22%... This is a good time to buy.
JNJ,momentum: +3.78%... This is a good time to buy.
JPM,momentum: +0.57%... This is a good time to buy.
V,momentum: +0.35%... This is a good time to buy.
PG,momentum: +1.4%... This is a good time to buy.
MA,momentum: +0.35%... This is a good time to buy.
CVX,momentum: +0.82%... This is a good time to buy.
HD,momentum: +0.2%... This is a good time to buy.
ABBV,momentum: +1.18%... This is a good time to buy.
LLY,momentum: +2.88%... This is a good time to buy.
MRK,momentum: +3.09%... This is a good time to buy.
AVGO,momentum: +-0.43%... This is a good time to buy.
PEP,momentum: +1.71%... This is a good time to buy.
KO,momentum: +1.3%... This is a good time to buy.
PFE,momentum: +3.11%... This is a good time to buy.
TMO,momentum: +0.43%... This is a good time to buy.
COST,momentum: +1.29%... This is a good time to buy.
CSCO,momentum: +0.91%... This is a good time to buy.
MCD,momentum: +0.95%... This is a good time to buy.
WMT,momentum: +1.6%... This is a good time to buy.
CRM,momentum: +0.55%... This is a good time to buy.
BAC,momentum: +-0.25%... This is a good time to buy.
DIS,momentum: +0.56%... This is a good time to buy.
ACN,momentum: +0.35%... This is a good time to buy.
ABT,momentum: +0.58%... This is a good time to buy.
ADBE,momentum: +0.18%... This is a good time to buy.
LIN,momentum: +-0.35%... This is a good time to buy.
VZ,momentum: +1.08%... This is a good time to buy.
TXN,momentum: +-0.37%... This is a good time to buy.
DHR,momentum: +0.42%... This is a good time to buy.
CMCSA,momentum: +0.85%... This is a good time to buy.
AMD,momentum: +-1.43%... This is a good time to buy.
NFLX,momentum: +-0.5%... This is a good time to buy.
NKE,momentum: +-0.32%... This is a good time to buy.
NEE,momentum: +2.1%... This is a good time to buy.
PM,momentum: +1.08%... This is a good time to buy.
BMY,momentum: +1.89%... This is a good time to buy.
RTX,momentum: +0.15%... This is a good time to buy.
ORCL,momentum: +0.66%... This is a good time to buy.
WFC,momentum: +0.54%... This is a good time to buy.
T,momentum: +1.02%... This is a good time to buy.
UPS,momentum: +0.67%... This is a good time to buy.
INTC,momentum: +-0.33%... This is a good time to buy.
QCOM,momentum: +0.22%... This is a good time to buy.
AMGN,momentum: +2.27%... This is a good time to buy.
COP,momentum: +1.08%... This is a good time to buy.
HON,momentum: +0.04%... This is a good time to buy.
INTU,momentum: +-0.04%... This is a good time to buy.
LOW,momentum: +0.15%... This is a good time to buy.
BA,momentum: +0.15%... This is a good time to buy.
UNP,momentum: +0.2%... This is a good time to buy.
SBUX,momentum: +1.63%... This is a good time to buy.
IBM,momentum: +0.77%... This is a good time to buy.
PLD,momentum: +0.19%... This is a good time to buy.
SPGI,momentum: +0.62%... This is a good time to buy.
ELV,momentum: +1.94%... This is a good time to buy.
CAT,momentum: +0.2%... This is a good time to buy.
LMT,momentum: +1.08%... This is a good time to buy.
