Symbol,0
AAPL,negative spread: -0.04 points. This is a good time to sell.
MSFT,negative spread: -0.03 points. This is a good time to sell.
AMZN,negative spread: -0.04 points. This is a good time to sell.
NVDA,neutral spread: 0.0 points.
GOOGL,positive spread: +0.06 points. This is a good time to buy.
GOOG,negative spread: -0.03 points. This is a good time to sell.
TSLA,negative spread: -0.03 points. This is a good time to sell.
META,negative spread: -0.19 points. This is a good time to sell.
XOM,negative spread: -0.02 points. This is a good time to sell.
UNH,negative spread: -0.28 points. This is a good time to sell.
JNJ,negative spread: -0.04 points. This is a good time to sell.
JPM,negative spread: -0.03 points. This is a good time to sell.
V,negative spread: -0.07 points. This is a good time to sell.
PG,negative spread: -0.02 points. This is a good time to sell.
MA,negative spread: -0.14 points. This is a good time to sell.
CVX,negative spread: -0.04 points. This is a good time to sell.
HD,positive spread: +0.09 points. This is a good time to buy.
ABBV,negative spread: -0.01 points. This is a good time to sell.
LLY,negative spread: -0.2 points. This is a good time to sell.
MRK,neutral spread: 0.0 points.
AVGO,negative spread: -0.52 points. This is a good time to sell.
PEP,positive spread: +0.02 points. This is a good time to buy.
KO,negative spread: -0.01 points. This is a good time to sell.
PFE,negative spread: -0.01 points. This is a good time to sell.
TMO,negative spread: -0.33 points. This is a good time to sell.
COST,negative spread: -0.43 points. This is a good time to sell.
CSCO,negative spread: -0.01 points. This is a good time to sell.
MCD,negative spread: -0.05 points. This is a good time to sell.
WMT,negative spread: -0.03 points. This is a good time to sell.
CRM,positive spread: +0.05 points. This is a good time to buy.
BAC,negative spread: -0.01 points. This is a good time to sell.
DIS,negative spread: -0.02 points. This is a good time to sell.
ACN,negative spread: -0.08 points. This is a good time to sell.
ABT,neutral spread: 0.0 points.
ADBE,negative spread: -0.18 points. This is a good time to sell.
LIN,negative spread: -0.14 points. This is a good time to sell.
VZ,negative spread: -0.01 points. This is a good time to sell.
TXN,negative spread: -0.05 points. This is a good time to sell.
DHR,negative spread: -0.09 points. This is a good time to sell.
CMCSA,neutral spread: 0.0 points.
AMD,negative spread: -0.01 points. This is a good time to sell.
NFLX,negative spread: -0.17 points. This is a good time to sell.
