Symbol,0
AAPL,trending downward over the year: -11.1 points. This is a good time to sell.
MSFT,trending downward over the year: -19.86 points. This is a good time to sell.
AMZN,trending downward over the year: -58.29 points. This is a good time to sell.
NVDA,trending downward over the year: -10.02 points. This is a good time to sell.
GOOGL,trending downward over the year: -33.26 points. This is a good time to sell.
GOOG,trending downward over the year: -33.32 points. This is a good time to sell.
TSLA,trending downward over the year: -173.39 points. This is a good time to sell.
META,trending downward over the year: -13.8 points. This is a good time to sell.
XOM,trending downward over the year: -3.47 points. This is a good time to sell.
UNH,trending downward over the year: -48.97 points. This is a good time to sell.
JNJ,trending downward over the year: -22.21 points. This is a good time to sell.
JPM,trending downward over the year: -16.2 points. This is a good time to sell.
V,trending downward over the year: -5.84 points. This is a good time to sell.
PG,trending downward over the year: -12.56 points. This is a good time to sell.
MA,trending downward over the year: -25.39 points. This is a good time to sell.
CVX,trending downward over the year: -19.26 points. This is a good time to sell.
HD,trending downward over the year: -51.7 points. This is a good time to sell.
ABBV,trending downward over the year: -14.24 points. This is a good time to sell.
LLY,trending downward over the year: -10.41 points. This is a good time to sell.
MRK,trending downward over the year: -3.3 points. This is a good time to sell.
AVGO,trending downward over the year: -16.8 points. This is a good time to sell.
PEP,trending downward over the year: -1.88 points. This is a good time to sell.
KO,trending downward over the year: -4.18 points. This is a good time to sell.
PFE,trending downward over the year: -14.15 points. This is a good time to sell.
TMO,trending downward over the year: -39.69 points. This is a good time to sell.
COST,trending downward over the year: -108.14 points. This is a good time to sell.
CSCO,trending downward over the year: -2.62 points. This is a good time to sell.
MCD,trending neutral over the year: 0.0 points.
WMT,trending downward over the year: -11.18 points. This is a good time to sell.
CRM,trending downward over the year: -7.18 points. This is a good time to sell.
BAC,trending downward over the year: -12.49 points. This is a good time to sell.
DIS,trending downward over the year: -33.8 points. This is a good time to sell.
ACN,trending downward over the year: -57.98 points. This is a good time to sell.
ABT,trending downward over the year: -20.96 points. This is a good time to sell.
ADBE,trending downward over the year: -70.06 points. This is a good time to sell.
LIN,trending downward over the year: -6.21 points. This is a good time to sell.
VZ,trending downward over the year: -15.43 points. This is a good time to sell.
TXN,trending downward over the year: -6.57 points. This is a good time to sell.
DHR,trending downward over the year: -53.79 points. This is a good time to sell.
CMCSA,trending downward over the year: -10.33 points. This is a good time to sell.
AMD,trending downward over the year: -15.07 points. This is a good time to sell.
NFLX,trending downward over the year: -34.43 points. This is a good time to sell.
NKE,trending downward over the year: -15.85 points. This is a good time to sell.
NEE,trending downward over the year: -12.57 points. This is a good time to sell.
PM,trending downward over the year: -11.22 points. This is a good time to sell.
BMY,trending downward over the year: -11.23 points. This is a good time to sell.
RTX,trending downward over the year: -6.36 points. This is a good time to sell.
ORCL,trending neutral over the year: 0.0 points.
WFC,trending downward over the year: -13.18 points. This is a good time to sell.
T,trending downward over the year: -1.69 points. This is a good time to sell.
UPS,trending downward over the year: -17.51 points. This is a good time to sell.
INTC,trending downward over the year: -15.91 points. This is a good time to sell.
QCOM,trending downward over the year: -34.09 points. This is a good time to sell.
AMGN,trending downward over the year: -43.51 points. This is a good time to sell.
COP,trending downward over the year: -31.04 points. This is a good time to sell.
HON,trending downward over the year: -29.95 points. This is a good time to sell.
INTU,trending downward over the year: -58.82 points. This is a good time to sell.
LOW,trending downward over the year: -20.01 points. This is a good time to sell.
BA,trending downward over the year: -7.1 points. This is a good time to sell.
UNP,trending downward over the year: -54.24 points. This is a good time to sell.
SBUX,trending downward over the year: -5.13 points. This is a good time to sell.
IBM,trending downward over the year: -20.6 points. This is a good time to sell.
PLD,trending downward over the year: -50.23 points. This is a good time to sell.
SPGI,trending downward over the year: -67.81 points. This is a good time to sell.
ELV,trending downward over the year: -64.88 points. This is a good time to sell.
CAT,trending downward over the year: -48.16 points. This is a good time to sell.
LMT,trending downward over the year: -5.12 points. This is a good time to sell.
MS,trending downward over the year: -16.46 points. This is a good time to sell.
