Symbol,Annual Liquidity
AAPL,-1.46
MSFT,-1.07
AMZN,-1.57
NVDA,-1.26
GOOGL,1.22
GOOG,1.07
TSLA,-1.38
META,-1.22
UNH,-1.02
XOM,-1.09
JNJ,1.14
JPM,-1.54
V,-1.46
PG,-1.27
MA,-1.21
CVX,-1.55
HD,-1.23
LLY,1.08
ABBV,-1.16
MRK,-1.26
AVGO,-1.55
PEP,-1.39
KO,-1.44
PFE,1.12
TMO,-1.72
COST,2.13
WMT,-1.29
CSCO,-1.23
MCD,-1.57
BAC,-1.38
CRM,-1.4
ABT,-1.05
DIS,-1.51
ACN,-1.14
LIN,-1.6
ADBE,-1.73
VZ,1.08
DHR,-1.24
TXN,-1.4
CMCSA,-1.02
NEE,-1.72
PM,-1.34
NFLX,-1.63
BMY,1.18
NKE,-1.44
AMD,-1.31
ORCL,1.27
WFC,-1.0
RTX,-1.37
T,-1.08
UPS,-1.41
QCOM,-1.45
INTC,-1.67
AMGN,-1.23
COP,-1.35
HON,-1.13
INTU,1.03
UNP,-1.11
SBUX,-1.89
LOW,-1.63
BA,-1.08
IBM,-1.69
ELV,-1.36
PLD,-1.43
SPGI,-1.08
LMT,-1.34
MS,-2.06
GS,-2.29
CAT,1.22
MDT,-1.43
GILD,-1.65
GE,-1.22
BKNG,-1.2
DE,1.17
CVS,-1.23
BLK,-1.61
SYK,-1.2
MDLZ,-1.2
AMAT,-1.05
AMT,-1.87
NOW,1.04
ADI,-1.15
AXP,-1.21
TJX,-1.72
ISRG,-1.66
ADP,-1.09
REGN,-1.18
C,-1.69
TMUS,-1.48
PGR,-1.29
PYPL,-1.33
MMC,1.05
VRTX,-1.39
CB,-1.5
MO,-1.62
CI,-1.03
ZTS,-1.36
SO,1.02
DUK,-1.09
TGT,-1.25
SCHW,1.2
BDX,1.25
FISV,-1.47
BSX,1.08
SLB,-1.47
CME,-1.39
EOG,-1.4
NOC,-1.91
LRCX,-1.35
AON,-1.84
EQIX,-1.53
HUM,1.01
MU,1.38
ITW,-1.06
CL,-1.39
CSX,1.28
APD,-1.32
ETN,1.29
WM,1.72
ATVI,-1.12
ICE,-1.09
MPC,-1.22
CCI,-1.85
FCX,-1.95
SNPS,1.06
HCA,-1.38
CDNS,1.04
MMM,-1.5
EL,-1.21
FDX,1.71
ORLY,-1.85
SHW,-1.2
MRNA,-1.36
KLAC,-1.55
EW,-2.2
GIS,-1.02
GD,1.22
VLO,-1.37
MCK,-1.48
USB,-1.08
PXD,-1.54
PSA,-1.13
PNC,1.01
SRE,-1.15
AEP,-1.01
F,-1.9
D,-1.55
GM,-1.54
PSX,1.01
EMR,-1.26
DG,-1.86
AZO,-1.09
MSI,1.14
MCO,-1.56
NSC,1.81
CMG,-1.31
ROP,-1.58
APH,-1.44
KMB,-1.19
OXY,-1.34
NXPI,-1.07
MAR,-1.75
DXCM,-1.34
TFC,-1.16
ADM,-1.35
MCHP,-1.49
EXC,1.14
CTVA,-1.18
ADSK,-1.22
MSCI,-1.3
FTNT,-1.83
AJG,-1.03
ECL,-1.13
BIIB,-1.31
NEM,1.05
A,-1.17
PH,-1.38
MNST,1.22
TRV,-1.97
ANET,1.05
TEL,-1.17
TT,1.88
O,-1.12
SYY,-1.11
IDXX,1.1
HES,-1.31
CTAS,-1.46
XEL,-1.3
MET,-1.22
DOW,-1.1
JCI,2.0
HSY,-1.1
AIG,-1.59
TDG,-1.92
LHX,-1.37
HLT,-1.32
YUM,-1.42
ROST,-1.45
CHTR,-1.48
NUE,1.22
AFL,-1.14
STZ,1.51
CNC,-1.08
IQV,-1.56
COF,-1.75
ILMN,-1.32
WMB,-1.11
SPG,-1.47
PCAR,-1.32
ED,-1.27
CARR,1.04
KMI,-1.73
PAYX,1.08
DVN,-1.71
WELL,-1.24
WBD,1.13
MTD,1.08
EA,-1.3
FIS,-1.2
BK,-1.85
OTIS,1.0
ON,-2.0
RMD,-1.69
VICI,-1.43
PPG,-1.02
DD,-1.23
CPRT,-1.2
AMP,-1.46
KR,-1.29
PEG,1.52
DLTR,-1.64
CMI,-1.27
ROK,-1.28
CTSH,-1.46
WEC,-1.11
AME,1.09
KHC,-1.35
PRU,-1.25
ALL,-1.39
KDP,1.1
DHI,1.16
VRSK,-1.35
HAL,-1.7
ODFL,-1.66
FAST,-1.17
OKE,-1.37
AWK,-1.17
GEHC,-1.91
GWW,-1.01
BKR,-1.46
ES,-1.69
ANSS,-1.27
SBAC,-2.6
KEYS,-1.37
APTV,-1.11
CSGP,-1.23
RSG,-1.66
EIX,-1.68
GPN,-1.18
ZBH,-1.78
ABC,-1.48
PCG,-1.18
ULTA,1.25
STT,-1.39
TSCO,-1.06
DLR,1.16
ENPH,-1.45
GLW,-1.42
DFS,-1.42
LEN,-1.39
FANG,-1.44
WBA,-1.21
WTW,-1.44
WST,-1.26
ACGL,-1.08
HPQ,-1.64
CEG,-1.81
CDW,-1.57
IT,1.02
URI,1.61
TROW,-1.82
EFX,-1.03
LYB,-1.31
EBAY,-1.34
AVB,-1.63
ALGN,-1.75
IFF,-1.52
AEE,1.07
GPC,-1.38
ALB,1.16
PWR,-1.41
FTV,-1.25
ETR,-1.56
FE,-1.12
HIG,-2.06
CBRE,-1.26
PODD,-2.16
CHD,-1.25
DTE,1.39
WY,-1.55
IR,-1.39
VMC,1.04
EXR,1.61
DAL,-1.63
MKC,-1.36
BAX,-1.52
MPWR,-1.7
MLM,-1.39
PPL,-1.29
CAH,-1.42
HOLX,-1.28
LH,-1.51
EQR,-2.34
HPE,-2.25
TDY,1.66
FSLR,-1.64
MTB,-1.33
DOV,-1.05
VRSN,-2.28
CTRA,-1.79
ARE,-1.84
CLX,-1.8
CNP,1.17
STE,-2.47
OMC,-1.54
TTWO,-1.25
LUV,-2.25
LVS,-1.76
NDAQ,-1.08
COO,-1.11
DRI,-1.01
CAG,-1.02
INVH,-1.8
CMS,-1.04
NTRS,1.62
XYL,-1.44
FITB,-1.08
WAT,-1.19
SWKS,-1.46
CINF,-1.41
WAB,-2.05
K,-1.41
MAA,-2.25
TSN,-1.74
RJF,-1.24
RF,-1.89
STLD,-1.13
VTR,-1.33
FICO,-2.57
PKI,-1.47
AMCR,1.14
TRGP,-1.7
EXPD,-1.14
SJM,-1.32
PFG,-1.46
BR,1.32
ATO,1.11
MOH,1.09
BALL,1.08
NVR,-1.22
EPAM,-1.29
AES,1.08
DGX,-1.38
IEX,-1.56
MRO,-1.39
HBAN,-1.42
SEDG,-1.83
TER,-1.4
FDS,-1.27
ZBRA,-1.97
FLT,-2.32
HWM,-1.26
LW,2.87
