Symbol,Annual Momentum
AAPL,-0.81
MSFT,-0.4
AMZN,-0.35
NVDA,-1.1
GOOGL,0.76
GOOG,0.78
TSLA,-1.32
META,-1.05
UNH,0.35
XOM,-0.11
JNJ,0.23
JPM,-0.48
V,-0.88
PG,0.4
MA,-0.71
CVX,-0.31
HD,-0.49
LLY,0.72
ABBV,0.0
MRK,0.97
AVGO,-0.77
PEP,-0.19
KO,0.1
PFE,0.91
TMO,0.17
COST,-3.04
WMT,-0.58
CSCO,-1.74
MCD,0.15
BAC,0.29
CRM,-0.67
ABT,0.27
DIS,-0.47
ACN,-0.24
LIN,-0.94
ADBE,-0.71
VZ,0.1
DHR,0.29
TXN,1.29
CMCSA,0.32
NEE,0.6
PM,0.01
NFLX,-0.88
BMY,0.64
NKE,-1.15
AMD,-1.18
ORCL,-0.59
WFC,0.6
RTX,0.01
T,0.26
UPS,-0.56
QCOM,-0.57
INTC,-0.7
AMGN,0.39
COP,-0.79
HON,0.1
INTU,-1.04
UNP,0.2
SBUX,0.0
LOW,-0.66
BA,0.0
IBM,0.02
ELV,0.43
PLD,0.0
SPGI,-0.35
LMT,0.3
MS,0.1
GS,-0.36
CAT,-0.4
MDT,0.72
GILD,0.5
GE,-0.14
BKNG,-0.38
DE,-0.44
CVS,0.26
BLK,0.09
SYK,0.01
MDLZ,0.36
AMAT,-2.68
AMT,0.33
NOW,-0.72
ADI,-0.86
AXP,-0.28
TJX,-0.19
ISRG,0.13
ADP,0.0
REGN,-0.22
C,0.07
TMUS,0.19
PGR,0.03
PYPL,-0.46
MMC,-0.11
VRTX,-0.16
CB,0.6
MO,-0.07
CI,0.7
ZTS,0.37
SO,0.57
DUK,0.67
TGT,-1.62
SCHW,-0.14
BDX,0.38
FISV,0.0
BSX,0.12
SLB,-0.04
CME,0.06
EOG,-0.59
NOC,0.8
LRCX,-1.51
AON,-0.1
EQIX,0.21
HUM,0.69
MU,0.09
ITW,-0.41
CL,0.31
CSX,0.17
APD,-0.54
ETN,-0.42
WM,0.16
ATVI,0.14
ICE,0.08
MPC,0.18
CCI,0.71
FCX,-0.22
SNPS,-0.72
HCA,-0.0
CDNS,-1.05
MMM,0.06
EL,0.5
FDX,0.47
ORLY,-0.27
SHW,-1.17
MRNA,0.25
KLAC,-1.91
EW,-0.04
GIS,0.25
GD,0.17
VLO,0.31
MCK,0.51
USB,0.4
