Symbol,Annual Trend
AAPL,-11.1
MSFT,-19.86
AMZN,-58.29
NVDA,-10.02
GOOGL,-33.26
GOOG,-33.32
TSLA,-173.39
META,-13.8
XOM,-3.47
UNH,-48.97
JNJ,-22.21
JPM,-16.2
V,-5.84
PG,-12.56
MA,-25.39
CVX,-19.26
HD,-51.7
ABBV,-14.24
LLY,-10.41
MRK,-3.3
AVGO,-16.8
PEP,-1.88
KO,-4.18
PFE,-14.15
TMO,-39.69
COST,-108.14
CSCO,-2.62
MCD,0.0
WMT,-11.18
CRM,-7.18
BAC,-12.49
DIS,-33.8
ACN,-57.98
ABT,-20.96
ADBE,-70.06
LIN,-6.21
VZ,-15.43
TXN,-6.57
DHR,-53.79
CMCSA,-10.33
AMD,-15.07
NFLX,-34.43
NKE,-15.85
NEE,-12.57
PM,-11.22
BMY,-11.23
RTX,-6.36
ORCL,0.0
WFC,-13.18
T,-1.69
UPS,-17.51
INTC,-15.91
QCOM,-34.09
AMGN,-43.51
COP,-31.04
HON,-29.95
INTU,-58.82
LOW,-20.01
BA,-7.1
UNP,-54.24
SBUX,-5.13
IBM,-20.6
PLD,-50.23
SPGI,-67.81
ELV,-64.88
CAT,-48.16
LMT,-5.12
MS,-16.46
GS,-67.38
DE,-54.2
MDT,-34.09
GE,-2.55
GILD,-6.09
BKNG,-42.03
AMAT,-6.76
ADI,-3.74
BLK,-128.78
CVS,-30.43
AXP,-30.82
SYK,-0.22
NOW,-66.82
MDLZ,0.0
AMT,-74.97
TJX,-4.39
ISRG,-50.12
C,-8.37
ADP,-60.36
REGN,0.0
TMUS,-5.41
PYPL,-40.41
PGR,0.0
MMC,-13.68
CB,-34.24
VRTX,-5.71
MO,-12.35
ZTS,-32.72
CI,-75.16
TGT,-87.88
SCHW,-37.26
SO,-9.01
DUK,-17.49
SLB,-8.3
BSX,0.0
FISV,-7.03
BDX,-25.61
EOG,-30.29
CME,-51.7
LRCX,-48.95
NOC,-82.97
AON,-19.11
EQIX,-57.95
ITW,-19.94
ETN,-17.49
APD,-41.67
HUM,-61.5
MU,-19.4
CL,-7.72
CSX,-8.48
WM,-10.69
ATVI,-0.09
ICE,-25.11
SNPS,-8.31
CDNS,-3.06
CCI,-64.63
FCX,-11.13
MPC,-8.44
EL,-40.42
HCA,-8.76
MMM,-51.9
KLAC,-40.55
ORLY,-5.73
SHW,-60.32
FDX,-13.12
MRNA,-60.39
GD,-26.11
EW,-47.52
GIS,-1.11
PXD,-76.03
F,-4.03
GM,-8.25
MCK,-29.82
PNC,-65.4
VLO,-16.69
USB,-18.62
PSA,-112.85
EMR,-14.75
CMG,-28.21
DG,-46.84
MSI,-0.22
MCO,-42.18
APH,-3.55
SRE,-22.32
OXY,-11.95
AZO,-98.28
D,-31.06
AEP,-11.01
NSC,-70.96
ROP,-50.5
PSX,-12.39
NXPI,-23.29
KMB,-7.74
MCHP,-6.77
DXCM,-14.47
MAR,-32.01
MSCI,-21.51
ADSK,-32.64
ADM,-19.33
CTVA,-7.88
FTNT,-5.27
TFC,-23.18
EXC,-7.64
ANET,-5.7
AJG,-6.22
PH,-44.15
ECL,-19.38
