Symbol,Annual Volatility
AAPL,-0.54
MSFT,-0.46
AMZN,-0.04
NVDA,-2.27
GOOGL,1.01
GOOG,0.95
TSLA,-1.07
META,-0.27
XOM,0.29
UNH,0.84
JNJ,3.71
JPM,-0.49
V,-0.39
PG,0.73
MA,0.04
CVX,0.13
HD,0.01
ABBV,0.14
LLY,0.98
MRK,0.99
AVGO,-0.52
PEP,0.77
KO,0.51
PFE,0.93
TMO,0.06
COST,0.26
CSCO,0.48
MCD,0.43
WMT,-0.04
CRM,0.41
BAC,-1.14
DIS,0.13
ACN,0.14
ABT,-0.17
ADBE,-0.28
LIN,-0.85
VZ,0.18
TXN,-0.5
DHR,-0.63
CMCSA,-0.37
AMD,-1.59
NFLX,-0.42
NKE,-0.56
NEE,0.96
PM,0.05
BMY,0.8
RTX,-0.27
ORCL,-0.4
WFC,-0.84
T,-0.1
UPS,-0.4
INTC,-0.94
QCOM,-0.72
AMGN,0.42
COP,0.57
HON,-0.34
INTU,-0.04
LOW,0.0
BA,-0.78
UNP,-0.38
SBUX,-0.02
IBM,-0.17
PLD,-0.26
SPGI,-0.19
ELV,0.7
CAT,-0.57
LMT,-0.11
MS,-1.17
GS,-0.94
DE,-1.08
MDT,0.33
GE,-0.07
GILD,0.22
BKNG,-0.2
AMAT,-0.44
ADI,-0.39
BLK,-1.02
CVS,0.18
AXP,-0.86
SYK,0.05
NOW,-0.06
MDLZ,0.6
AMT,0.03
TJX,0.08
ISRG,-0.19
C,-1.35
ADP,-0.29
REGN,0.32
TMUS,0.49
PYPL,-0.2
PGR,-0.37
MMC,-0.02
CB,-0.58
VRTX,0.63
MO,0.02
ZTS,-0.04
CI,0.84
TGT,-0.15
SCHW,-1.86
SO,0.53
DUK,0.8
SLB,0.24
BSX,0.22
FISV,-0.27
BDX,0.47
EOG,0.33
CME,0.18
LRCX,-0.87
NOC,-0.19
AON,0.33
EQIX,-0.07
ITW,-0.67
ETN,-1.06
APD,-0.53
HUM,0.88
MU,-0.79
CL,0.8
CSX,-0.14
WM,0.46
ATVI,0.11
ICE,0.4
SNPS,-0.44
CDNS,-0.66
CCI,0.23
FCX,-0.97
MPC,-0.25
EL,-0.14
HCA,-0.2
MMM,0.11
KLAC,-1.16
ORLY,-0.03
SHW,-0.38
FDX,2.48
MRNA,-0.47
GD,-0.12
EW,0.38
GIS,0.49
PXD,0.35
F,-1.1
GM,-1.32
MCK,0.75
PNC,-1.64
VLO,0.14
USB,-0.66
PSA,-0.12
EMR,-0.66
CMG,-0.22
DG,0.38
MSI,0.04
MCO,-0.23
APH,-0.59
SRE,0.49
OXY,-0.71
AZO,0.0
D,0.6
AEP,0.71
NSC,-0.01
ROP,0.25
PSX,0.12
NXPI,-0.97
KMB,0.68
MCHP,-0.8
DXCM,0.04
MAR,-0.46
MSCI,-0.71
ADSK,-0.84
ADM,-0.28
CTVA,-0.6
FTNT,-0.44
TFC,-1.13
EXC,0.36
ANET,-0.77
AJG,-0.18
PH,-0.31
ECL,-0.27
A,-0.34
NEM,0.76
MNST,0.3
TEL,-0.7
IDXX,-0.31
TT,-0.62
BIIB,0.27
SYY,0.06
O,0.19
CTAS,-0.42
JCI,-0.61
HES,0.41
TRV,-0.58
TDG,-0.92
DOW,-1.12
HSY,0.46
MET,-0.94
ROST,-0.66
LHX,-0.13
XEL,0.67
HLT,-0.5
YUM,0.31
AIG,-1.18
COF,-1.07
PCAR,-0.64
CHTR,-0.13
IQV,-0.83
SPG,-0.7
NUE,-1.55
ILMN,0.12
AFL,-0.67
WMB,0.51
CARR,0.68
STZ,0.88
CNC,0.69
PAYX,-0.16
KMI,0.4
DVN,0.11
MTD,-0.58
ED,0.82
ON,-1.31
OTIS,-0.64
WBD,-1.06
WELL,-0.04
EA,0.0
CMI,-0.97
BK,-1.23
VICI,0.53
CPRT,-0.45
PPG,-0.77
RMD,0.12
KR,0.06
DD,-1.01
AME,-0.72
AMP,-1.3
ROK,-0.84
FIS,-0.83
DLTR,0.01
CTSH,-0.35
PEG,0.26
KHC,0.47
DHI,0.1
FAST,-0.57
PRU,-1.61
HAL,0.09
ALL,-1.31
KDP,0.4
WEC,0.6
VRSK,-0.05
ODFL,-0.76
GWW,-0.93
GEHC,-0.11
BKR,0.14
OKE,0.25
APTV,-0.95
ANSS,-0.45
AWK,0.71
KEYS,-0.51
ULTA,-0.23
RSG,0.54
SBAC,0.1
CSGP,-0.51
ENPH,-1.25
ES,0.65
GPN,-0.88
ZBH,0.35
EIX,0.43
DLR,-0.41
TSCO,-0.86
ABC,0.61
LEN,-0.09
DFS,-1.41
GLW,-0.7
STT,-1.41
FANG,0.48
PCG,0.37
WST,-0.02
WBA,-0.39
CDW,-0.45
HPQ,-0.64
WTW,-0.54
ACGL,-0.35
URI,-1.93
CEG,-0.18
TROW,-0.82
IT,-0.32
EFX,-0.32
ALB,-4.11
EBAY,-0.18
ALGN,-0.74
LYB,-1.05
GPC,-0.12
PWR,-0.62
AVB,-0.22
FTV,-0.63
IFF,-0.6
VMC,-1.19
IR,-0.98
CBRE,-0.96
AEE,0.66
PODD,-0.23
WY,-0.8
HIG,-1.11
ETR,0.65
DAL,-1.06
CHD,0.48
FE,0.5
MPWR,-0.88
MLM,-1.15
EXR,0.05
MKC,0.63
DTE,0.39
HPE,-0.62
FSLR,-0.29
TDY,-0.54
BAX,0.47
LH,-0.32
DOV,-0.84
EQR,-0.2
PPL,0.36
HOLX,0.21
CAH,0.5
VRSN,0.07
CTRA,0.44
MTB,-1.44
ARE,-0.36
OMC,-0.83
TTWO,-0.12
CLX,0.52
STE,-0.01
LVS,0.12
LUV,-1.01
DRI,-0.1
CNP,0.34
NDAQ,-0.07
COO,-0.36
XYL,-0.96
SWKS,-0.92
NTRS,-0.83
WAT,-0.25
INVH,-0.19
CAG,0.03
CMS,0.51
WAB,-0.71
CINF,-0.77
FITB,-1.95
RJF,-1.5
TSN,0.25
FICO,-0.26
MAA,-0.08
K,0.46
RF,-0.98
STLD,-2.48
BALL,-0.15
EXPD,-0.08
VTR,-0.07
BR,-0.28
AMCR,-0.27
TRGP,-0.07
PKI,-0.38
IEX,-0.5
SJM,0.12
EPAM,-0.97
NVR,0.23
PFG,-1.1
SEDG,-0.67
MRO,-0.47
TER,-0.96
DGX,0.06
ATO,0.29
AES,-0.17
ZBRA,-0.07
MOH,0.95
MOS,-0.67
FDS,0.03
HBAN,-2.0
BBY,-0.57
HWM,-0.33
GRMN,-0.33
IRM,-0.36
FMC,-0.26
FLT,-0.59
TYL,-0.06
LW,0.3
MKTX,-1.41
J,-0.47
TXT,-0.75
IPG,-0.88
AVY,-0.32
CFG,-2.13
CF,-0.97
CBOE,-0.18
PAYC,-0.61
BG,-0.49
JBHT,-0.34
LKQ,-0.25
RE,-0.51
MGM,-0.57
EVRG,0.43
EXPE,-0.82
RCL,-0.77
UAL,-0.52
ETSY,-0.84
NTAP,-0.43
BRO,-0.33
PTC,-0.12
INCY,0.32
PHM,-0.45
ESS,-0.01
LNT,0.4
PKG,-0.01
POOL,-0.76
IP,-0.74
STX,-0.84
WRB,-0.38
SYF,-1.45
SNA,-0.69
TRMB,-0.02
UDR,-0.42
LDOS,-0.22
APA,-0.55
AKAM,0.18
TFX,0.04
PEAK,-0.55
KIM,-0.98
EQT,0.65
HRL,0.46
DPZ,0.02
WYNN,-0.62
TECH,-0.08
VTRS,-0.1
HST,-0.12
NDSN,-0.39
WDC,-1.0
CPT,-0.32
SWK,-0.87
BWA,-0.59
CTLT,-1.04
NI,0.32
HSIC,0.18
CHRW,-0.04
CPB,0.51
CDAY,-0.79
KEY,-1.88
JNPR,0.09
L,-0.8
MAS,-0.66
PARA,-1.34
JKHY,-0.1
CE,-0.97
MTCH,-0.7
FOXA,-0.89
CZR,-1.21
KMX,-0.83
TPR,-1.0
