#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.179794,158.36,-1.89,(-1.18%),2023-03-27,"12,575,597",5.89,6.61,27.23,24.25,0.57%,2549.37B
2,Microsoft Corporation,MSFT,6.291623,276.58,-3.99,(-1.42%),2023-03-27,"6,136,348",8.99,10.75,31.19,26.10,0.97%,2064.37B
3,Amazon.com Inc.,AMZN,2.635451,98.23,0.1,(0.10%),2023-03-27,"20,652,624",-0.27,2.51,-,39.10,-,1016.64B
4,NVIDIA Corporation,NVDA,1.984518,265.61,-2.18,(-0.81%),2023-03-27,"13,546,228",1.74,5.91,153.81,45.30,0.06%,656.71B
5,Alphabet Inc. Class A,GOOGL,1.891848,102.53,-2.91,(-2.76%),2023-03-27,"15,030,154",4.49,6.14,23.50,17.16,-,1337.74B
6,Alphabet Inc. Class C,GOOG,1.658922,103.17,-2.89,(-2.72%),2023-03-27,"12,084,106",4.89,6.13,21.69,17.30,-,1352.36B
7,Berkshire Hathaway Inc. Class B,BRK.B,1.622436,302.2,3.28,(1.10%),2023-03-27,"1,674,222",-,17.79,-,16.80,-,655.35B
8,Tesla Inc.,TSLA,1.542712,192.97,2.56,(1.35%),2023-03-27,"43,490,518",3.62,5.46,52.53,34.87,-,615.86B
9,Meta Platforms Inc. Class A,META,1.381319,202.34,-3.67,(-1.78%),2023-03-27,"8,230,632",8.36,11.87,24.65,17.36,-,559.56B
10,UnitedHealth Group Incorporated,UNH,1.339771,483.06,7.07,(1.49%),2023-03-27,"1,261,187",21.18,28.28,22.47,16.83,1.39%,446.41B
11,Exxon Mobil Corporation,XOM,1.284338,105.95,2.42,(2.33%),2023-03-27,"5,154,942",13.27,10.06,7.80,10.29,3.52%,426.49B
12,Johnson & Johnson,JNJ,1.202289,153.0,0.35,(0.23%),2023-03-27,"3,580,625",6.74,10.89,22.66,14.01,2.96%,401.85B
13,JPMorgan Chase & Co.,JPM,1.103736,129.12,4.21,(3.37%),2023-03-27,"4,054,094",12.09,13.53,10.33,9.23,3.20%,382.09B
14,Visa Inc. Class A,V,1.08203,220.88,-0.16,(-0.07%),2023-03-27,"5,136,241",7.16,9.67,30.89,22.86,0.81%,455.07B
15,Procter & Gamble Company,PG,1.042724,146.33,-0.4,(-0.27%),2023-03-27,"2,115,441",5.69,6.33,25.77,23.17,2.49%,346.04B
16,Mastercard Incorporated Class A,MA,0.893735,355.53,3.9,(1.11%),2023-03-27,"817,609",10.22,14.50,34.39,24.25,0.65%,333.60B
17,Home Depot Inc.,HD,0.868953,281.62,-1.4,(-0.50%),2023-03-27,"2,090,189",16.69,16.81,16.96,16.83,2.95%,286.79B
18,AbbVie Inc.,ABBV,0.841855,158.24,0.22,(0.14%),2023-03-27,"2,435,929",6.63,11.12,23.84,14.21,3.75%,281.56B
19,Chevron Corporation,CVX,0.836338,158.12,2.06,(1.32%),2023-03-27,"2,052,086",18.26,15.10,8.55,10.34,3.87%,301.36B
20,Broadcom Inc.,AVGO,0.800867,628.92,-7.25,(-1.14%),2023-03-27,"801,294",29.74,44.20,21.39,14.39,2.89%,267.56B
21,Merck & Co. Inc.,MRK,0.800447,105.48,0.68,(0.64%),2023-03-27,"3,005,158",5.71,8.58,18.34,12.22,2.79%,274.32B
22,Eli Lilly and Company,LLY,0.798577,334.21,-1.92,(-0.57%),2023-03-27,"768,655",6.91,11.71,48.64,28.69,1.34%,320.45B
23,PepsiCo Inc.,PEP,0.743037,178.28,-0.81,(-0.45%),2023-03-27,"2,768,274",6.48,7.87,27.65,22.76,2.57%,248.59B
24,Coca-Cola Company,KO,0.714041,61.35,0.45,(0.74%),2023-03-27,"7,995,378",2.19,2.80,27.77,21.77,3.02%,264.70B
25,Pfizer Inc.,PFE,0.682998,40.19,-0.2,(-0.50%),2023-03-27,"7,333,449",5.47,3.78,7.38,10.69,4.06%,228.48B
26,Costco Wholesale Corporation,COST,0.662045,495.61,0.34,(0.07%),2023-03-27,"795,391",13.61,15.69,36.39,31.56,0.73%,219.74B
27,Thermo Fisher Scientific Inc.,TMO,0.659576,556.12,-2.14,(-0.38%),2023-03-27,"391,761",17.64,26.75,31.65,20.87,0.25%,219.01B
28,Cisco Systems Inc.,CSCO,0.625094,50.61,0.1,(0.19%),2023-03-27,"10,569,176",2.73,4.03,18.50,12.54,3.09%,206.59B
29,Walmart Inc.,WMT,0.599036,144.35,2.55,(1.80%),2023-03-27,"4,677,301",4.27,6.74,33.19,21.03,1.61%,379.33B
30,McDonald's Corporation,MCD,0.598669,274.24,2.91,(1.07%),2023-03-27,"847,977",8.34,11.70,32.52,23.20,2.24%,200.98B
31,Salesforce Inc.,CRM,0.572553,191.42,1.36,(0.72%),2023-03-27,"2,185,393",0.21,8.85,922.62,21.48,-,192.58B
32,Bank of America Corp,BAC,0.570639,28.6,1.46,(5.39%),2023-03-27,"46,078,430",3.19,3.68,8.52,7.37,3.24%,226.07B
33,Walt Disney Company,DIS,0.517743,95.36,1.28,(1.36%),2023-03-27,"1,784,678",1.82,5.50,51.75,17.11,-,173.88B
34,Adobe Incorporated,ADBE,0.517113,373.61,-1.35,(-0.36%),2023-03-27,"675,327",10.14,17.58,36.97,21.33,-,169.33B
35,Accenture Plc Class A,ACN,0.516011,276.98,4.98,(1.83%),2023-03-27,"1,281,255",11.01,12.57,24.70,21.64,1.65%,181.17B
36,Abbott Laboratories,ABT,0.515009,98.46,0.41,(0.42%),2023-03-27,"2,895,320",3.92,4.84,24.98,20.26,2.08%,173.95B
37,Linde plc,LIN,0.51149,341.44,-3.31,(-0.96%),2023-03-27,"714,976",8.24,14.77,41.85,23.34,1.48%,173.68B
38,Danaher Corporation,DHR,0.490035,252.31,4.14,(1.67%),2023-03-27,"1,084,246",9.66,11.07,25.68,22.41,0.44%,185.56B
39,Texas Instruments Incorporated,TXN,0.48994,178.24,-1.27,(-0.71%),2023-03-27,"2,583,333",9.40,8.44,19.09,21.27,2.76%,163.99B
40,Verizon Communications Inc.,VZ,0.476479,38.09,0.43,(1.14%),2023-03-27,"7,666,348",5.06,4.74,7.45,7.94,6.93%,157.26B
41,Advanced Micro Devices Inc.,AMD,0.475763,96.99,-0.97,(-0.99%),2023-03-27,"5,000,262",0.89,4.33,110.68,22.64,-,155.84B
42,Comcast Corporation Class A,CMCSA,0.455192,36.53,0.61,(1.70%),2023-03-27,"5,850,262",1.19,4.11,30.16,8.73,3.23%,152.32B
43,NextEra Energy Inc.,NEE,0.453104,75.38,-0.31,(-0.41%),2023-03-27,"1,485,296",2.09,3.38,36.22,22.42,2.47%,151.55B
44,NIKE Inc. Class B,NKE,0.452971,117.9,-2.81,(-2.32%),2023-03-27,"3,301,917",3.54,3.98,34.09,30.32,1.13%,187.57B
45,Netflix Inc.,NFLX,0.440573,327.45,-0.94,(-0.29%),2023-03-27,"3,219,454",9.14,14.39,35.94,22.83,-,149.41B
46,Bristol-Myers Squibb Company,BMY,0.433494,68.24,0.56,(0.83%),2023-03-27,"3,835,856",2.95,8.21,22.93,8.25,3.37%,143.26B
47,Raytheon Technologies Corporation,RTX,0.425605,97.16,0.72,(0.75%),2023-03-27,"1,058,386",3.51,5.82,27.46,16.57,2.28%,144.55B
48,Philip Morris International Inc.,PM,0.423808,95.58,4.83,(5.33%),2023-03-27,"2,980,801",5.81,6.91,15.61,13.13,5.60%,141.57B
49,QUALCOMM Incorporated,QCOM,0.419896,123.9,-0.86,(-0.69%),2023-03-27,"1,866,561",10.46,11.41,11.93,10.94,2.40%,138.85B
