Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
AAPL,162.36,162.44,164.90 x 1100,164.91 x 1300,162.13 - 165.00,124.17 - 178.49,"68,749,792","68,884,983",,,,,,,
MSFT,284.05,283.73,288.36 x 1000,288.55 x 900,283.03 - 288.81,213.43 - 315.11,"32,765,976","32,729,230",,,,,,,
AMZN,102.00,102.16,103.32 x 900,103.33 x 1300,101.95 - 103.42,81.43 - 168.39,"56,750,317","68,335,864",,,,,,,
NVDA,273.83,271.40,278.00 x 1100,278.10 x 900,271.05 - 278.34,108.13 - 278.34,"43,393,277","50,175,538",,,,,,,
GOOGL,100.89,101.30,103.55 x 1200,103.66 x 1000,101.05 - 103.89,83.34 - 143.71,"36,863,369","40,085,480",,,,,,,
BRK.B,N/A,N/A,N/A x N/A,N/A x N/A,N/A - N/A,undefined - undefined,N/A,N/A,,,,,,,
GOOG,101.32,101.71,103.90 x 1000,103.91 x 800,101.44 - 104.19,83.45 - 144.04,"28,107,953","32,354,383",,,,,,,
TSLA,195.28,197.53,207.62 x 1200,207.65 x 900,197.23 - 207.79,101.81 - 384.29,"170,222,118","174,717,187",,,,,,,
META,207.84,207.24,212.00 x 1400,212.20 x 1100,206.77 - 212.17,88.09 - 236.86,"25,440,273","32,431,335",,,,,,,
XOM,109.49,109.68,109.50 x 800,109.60 x 1000,109.05 - 110.16,79.29 - 119.63,"14,417,961","16,993,569",,,,,,,
UNH,470.06,471.52,483.00 x 800,488.00 x 800,470.28 - 475.99,449.70 - 558.10,"3,996,695","3,604,795",,,,,,,
JNJ,153.43,153.79,154.80 x 800,155.05 x 900,153.24 - 155.18,150.11 - 186.69,"9,890,047","8,242,203",,,,,,,
JPM,128.75,129.66,128.72 x 900,130.25 x 800,128.85 - 130.34,101.28 - 144.34,"13,105,215","13,515,120",,,,,,,
V,222.36,223.60,225.62 x 800,227.00 x 800,223.30 - 225.83,174.60 - 234.30,"9,508,978","6,287,720",,,,,,,
PG,147.45,147.74,148.50 x 1000,148.90 x 800,147.58 - 148.69,122.18 - 164.90,"7,685,942","6,885,888",,,,,,,
MA,359.26,361.13,363.38 x 800,363.70 x 900,360.38 - 363.64,276.87 - 390.00,"3,376,796","2,888,346",,,,,,,
HD,285.36,286.99,294.55 x 900,295.00 x 1000,286.76 - 295.55,264.51 - 347.25,"5,800,560","3,901,887",,,,,,,
CVX,162.39,162.70,162.85 x 900,163.16 x 3000,162.16 - 163.70,132.54 - 189.68,"7,041,436","8,915,880",,,,,,,
ABBV,157.92,158.43,157.41 x 1000,160.00 x 800,157.73 - 159.57,134.09 - 175.91,"4,957,340","6,343,206",,,,,,,
LLY,340.69,342.00,341.00 x 1000,344.50 x 800,340.69 - 343.65,276.83 - 375.25,"2,933,578","3,185,582",,,,,,,
MRK,105.92,106.23,102.00 x 800,112.00 x 800,105.52 - 106.53,82.73 - 115.49,"7,184,258","8,818,146",,,,,,,
AVGO,633.75,630.54,641.55 x 2200,643.00 x 900,625.91 - 642.22,415.07 - 648.50,"2,209,728","2,297,351",,,,,,,
PEP,180.83,182.16,182.10 x 800,182.50 x 3200,181.32 - 182.49,154.86 - 186.84,"4,480,030","4,773,891",,,,,,,
KO,61.85,62.06,61.96 x 900,62.09 x 900,61.87 - 62.25,54.02 - 67.20,"14,440,888","13,904,324",,,,,,,
PFE,40.38,40.55,40.75 x 4000,40.79 x 2900,40.28 - 40.83,39.23 - 56.32,"23,393,576","23,076,714",,,,,,,
TMO,562.97,566.97,574.50 x 800,576.70 x 800,563.66 - 576.66,475.77 - 618.36,"1,438,708","1,424,906",,,,,,,
COST,491.48,495.00,497.05 x 800,497.50 x 1300,493.94 - 498.27,406.51 - 612.27,"2,082,044","1,958,991",,,,,,,
CSCO,51.43,51.44,52.40 x 1200,52.50 x 1000,51.39 - 52.35,38.60 - 56.12,"20,588,795","18,425,859",,,,,,,
WMT,145.67,146.58,147.21 x 1000,147.53 x 1200,146.53 - 148.44,117.27 - 160.77,"6,955,996","6,544,264",,,,,,,
MCD,277.79,278.92,279.52 x 800,279.99 x 800,278.50 - 280.64,228.34 - 281.67,"2,902,491","2,743,340",,,,,,,
BAC,28.30,28.62,28.53 x 1300,28.55 x 38500,28.26 - 28.68,26.32 - 41.14,"56,482,080","56,234,924",,,,,,,
CRM,196.60,197.49,199.85 x 1400,199.99 x 800,196.99 - 200.00,126.34 - 221.00,"6,634,260","9,173,577",,,,,,,
DIS,98.10,98.89,100.22 x 1200,100.35 x 800,98.50 - 100.20,84.07 - 139.26,"8,919,965","10,941,969",,,,,,,
ACN,282.66,283.12,285.75 x 800,288.76 x 800,282.61 - 285.96,242.80 - 345.30,"3,009,370","2,416,379",,,,,,,
ADBE,381.90,382.29,385.00 x 1100,385.80 x 900,380.28 - 385.73,274.73 - 473.49,"3,063,428","3,050,967",,,,,,,
LIN,351.54,350.37,350.10 x 900,360.00 x 800,349.11 - 355.63,262.47 - 362.74,"1,513,468","2,641,291",,,,,,,
ABT,99.08,99.92,99.76 x 3100,102.17 x 1200,99.73 - 101.41,93.25 - 124.36,"6,442,440","5,172,203",,,,,,,
TXN,184.24,184.02,186.01 x 900,186.44 x 1100,183.12 - 186.30,144.46 - 186.30,"4,793,263","5,350,246",,,,,,,
DHR,249.80,251.26,237.00 x 900,270.00 x 900,249.83 - 252.74,233.71 - 303.82,"2,754,736","2,600,590",,,,,,,
VZ,38.66,38.79,38.92 x 3100,39.04 x 1400,38.55 - 39.05,34.55 - 55.51,"22,801,450","20,443,138",,,,,,,
AMD,97.88,96.34,98.03 x 800,98.04 x 1200,95.27 - 98.36,54.57 - 110.94,"55,861,066","62,631,953",,,,,,,
CMCSA,37.15,37.28,37.89 x 3200,38.00 x 3000,37.21 - 37.95,28.39 - 48.42,"15,858,425","19,623,061",,,,,,,
NEE,76.59,76.76,77.01 x 900,78.00 x 800,75.98 - 77.12,67.22 - 91.35,"10,124,428","9,252,616",,,,,,,
NFLX,338.43,340.05,345.65 x 800,345.95 x 1300,337.23 - 345.84,162.71 - 396.02,"5,610,161","7,860,067",,,,,,,
PM,96.62,97.14,96.09 x 800,97.80 x 1000,96.68 - 97.36,82.85 - 109.81,"3,887,397","4,707,374",,,,,,,
NKE,120.10,120.92,122.50 x 800,122.70 x 1000,120.60 - 122.71,82.22 - 139.14,"5,659,422","6,341,061",,,,,,,
BMY,68.20,68.66,68.31 x 1100,69.86 x 1800,68.37 - 69.38,65.28 - 81.44,"8,953,242","8,183,966",,,,,,,
RTX,97.37,97.98,97.70 x 900,98.19 x 1100,97.50 - 98.05,80.27 - 106.02,"4,652,714","4,803,188",,,,,,,
WFC,37.38,37.73,37.38 x 2900,37.49 x 1000,37.31 - 37.94,35.25 - 50.19,"30,287,859","23,278,195",,,,,,,
QCOM,127.40,126.65,128.00 x 800,128.10 x 1100,126.39 - 127.97,101.93 - 156.66,"6,222,445","7,756,891",,,,,,,
UPS,191.09,191.93,193.50 x 900,194.20 x 900,190.93 - 194.10,154.87 - 209.39,"2,571,248","3,117,853",,,,,,,
ORCL,90.51,90.56,92.92 x 800,92.99 x 1000,90.46 - 93.00,60.78 - 93.00,"10,476,333","7,227,632",,,,,,,
T,19.08,19.12,19.25 x 2200,19.28 x 900,19.03 - 19.25,14.46 - 21.53,"27,130,925","32,272,635",,,,,,,
INTC,32.09,31.80,32.65 x 2200,32.66 x 3100,31.74 - 32.90,24.59 - 49.23,"59,764,991","47,010,653",,,,,,,
AMGN,241.50,241.43,239.08 x 800,243.49 x 1100,239.15 - 242.40,223.30 - 296.67,"2,762,531","2,514,345",,,,,,,
HON,189.12,190.12,191.05 x 900,191.55 x 1000,189.33 - 191.38,166.63 - 220.96,"2,702,570","3,189,558",,,,,,,
INTU,440.09,442.63,445.77 x 1000,450.00 x 900,441.86 - 448.04,339.36 - 507.71,"1,700,999","1,623,143",,,,,,,
COP,99.25,99.81,99.02 x 1100,99.21 x 800,98.94 - 99.90,78.30 - 138.49,"7,708,836","6,721,688",,,,,,,
UNP,198.36,198.87,201.28 x 900,205.19 x 800,198.68 - 201.38,183.69 - 260.69,"3,422,593","3,601,611",,,,,,,
BA,211.04,211.75,212.40 x 1300,212.60 x 900,211.39 - 214.80,113.02 - 221.33,"5,147,549","6,314,688",,,,,,,
CAT,224.54,226.38,228.50 x 900,229.19 x 900,224.90 - 229.05,160.60 - 266.04,"2,746,909","3,353,864",,,,,,,
IBM,129.22,129.47,131.03 x 800,131.13 x 900,129.42 - 131.22,115.55 - 153.21,"4,524,686","5,159,538",,,,,,,
LOW,192.65,194.09,199.81 x 800,200.20 x 1400,193.95 - 200.23,170.12 - 223.31,"3,151,577","3,097,279",,,,,,,
SBUX,101.32,101.84,104.02 x 900,104.30 x 1100,102.03 - 104.28,68.39 - 110.83,"6,900,065","6,187,604",,,,,,,
