Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
AAPL,165.63,164.74,162.79 x 900,162.83 x 1100,162.23 - 165.05,124.17 - 176.15,"23,515,164","67,080,152"
MSFT,287.18,285.85,284.14 x 1000,284.17 x 1000,282.98 - 287.14,213.43 - 307.00,"10,693,565","32,195,888"
AMZN,103.95,103.91,101.21 x 900,101.25 x 1100,100.75 - 103.91,81.43 - 162.20,"22,326,920","67,426,840"
NVDA,274.53,268.29,266.71 x 800,266.71 x 800,263.95 - 269.98,108.13 - 280.00,"29,064,492","50,251,895"
GOOGL,104.72,105.78,104.15 x 800,104.09 x 900,103.72 - 106.10,83.34 - 139.36,"15,428,389","40,074,224"
GOOG,105.12,106.12,104.56 x 800,104.59 x 900,104.22 - 106.53,83.45 - 139.85,"10,710,468","32,396,877"
TSLA,192.58,190.51,184.90 x 1300,184.93 x 1100,184.01 - 190.68,101.81 - 364.07,"74,298,743","173,107,995"
META,214.72,214.15,210.71 x 1100,210.90 x 800,210.45 - 215.19,88.09 - 228.99,"10,140,392","32,074,277"
XOM,115.02,115.35,115.73 x 900,115.75 x 900,114.32 - 116.16,79.29 - 119.63,"6,696,126","17,194,993"
UNH,493.25,497.39,506.97 x 800,507.25 x 800,496.10 - 509.13,449.70 - 558.10,"2,251,836","3,553,552"
JNJ,158.49,164.37,163.43 x 1000,163.47 x 1100,162.76 - 164.48,150.11 - 186.69,"7,845,987","8,258,340"
JPM,127.42,126.80,127.65 x 900,127.68 x 1800,126.46 - 128.14,101.28 - 144.34,"3,856,799","13,609,244"
V,227.66,226.78,228.28 x 1000,228.35 x 800,226.55 - 228.46,174.60 - 234.30,"1,787,825","6,319,072"
PG,150.23,151.33,151.82 x 1100,151.84 x 800,151.01 - 152.34,122.18 - 164.90,"2,320,010","6,888,960"
MA,363.33,363.48,364.04 x 800,364.18 x 900,361.61 - 364.61,276.87 - 390.00,"682,712","2,886,083"
CVX,169.04,169.26,169.01 x 800,169.05 x 900,167.74 - 170.42,132.54 - 189.68,"2,461,165","9,046,481"
HD,294.96,295.00,289.60 x 1100,289.51 x 800,288.74 - 295.55,264.51 - 347.25,"1,362,724","3,927,408"
ABBV,159.78,160.00,161.41 x 900,161.42 x 1000,159.01 - 161.67,134.09 - 175.91,"2,498,259","6,377,059"
LLY,354.62,358.08,363.96 x 1000,364.16 x 800,357.93 - 364.84,276.83 - 375.25,"1,498,873","3,249,665"
MRK,108.83,109.91,112.05 x 1800,112.05 x 1200,109.58 - 112.19,83.05 - 115.49,"3,266,588","8,745,203"
AVGO,634.41,631.14,628.57 x 2200,629.09 x 900,626.68 - 631.70,415.07 - 648.50,"519,850","2,295,019"
PEP,181.85,183.25,184.19 x 1300,184.17 x 800,183.07 - 184.96,154.86 - 186.84,"1,382,140","4,748,101"
